agents,cases,external_timeouts,map_name,mean_improvement_pct,mean_initial_solution_cost,mean_iterations_used,mean_normalized_cost,mean_soc,mean_sum_shortest_distances,mean_wall_time_s,method,scenario,solve_rate,solved,target_mode,time_limit
400,30,0,den520d,nan,nan,nan,1.003,1203.6,1200.0,8.90117642879486,lacam_focal_h,fig3_den520d_random,1.0,30,random,10.0
600,30,0,den520d,nan,nan,nan,1.0042222222222221,1807.6,1800.0,9.614816323916118,lacam_focal_h,fig3_den520d_random,1.0,30,random,10.0
800,30,0,den520d,nan,nan,nan,1.0068194444444445,2416.366666666667,2400.0,9.783228747049968,lacam_focal_h,fig3_den520d_random,1.0,30,random,10.0
200,30,0,lak303d,5.044644859852757,50891.333333333336,11.6,1.5469832920996374,48323.166666666664,31147.633333333335,13.718755968411763,dbs_hungarian,fig3_lak303d_hotspot,1.0,30,hotspot,10.0
400,30,0,lak303d,1.8937455119580666,94176.16666666667,8.166666666666666,1.6439853059344647,92321.86666666667,56620.03333333333,16.333438261349997,dbs_hungarian,fig3_lak303d_hotspot,1.0,30,hotspot,10.0
600,30,0,lak303d,1.7305565459346883,168014.92857142858,5.928571428571429,1.962455787136798,165024.2857142857,85172.67857142857,16.875242773691813,dbs_hungarian,fig3_lak303d_hotspot,0.9333333333333333,28,hotspot,10.0
800,30,0,lak303d,0.44008243862462754,263654.5,2.5,2.4165766041021013,262531.2916666667,110931.125,17.968475755055746,dbs_hungarian,fig3_lak303d_hotspot,0.8,24,hotspot,10.0
200,30,0,lak303d,nan,nan,nan,1.621802554681546,50742.36666666667,31147.633333333335,9.358260027567546,lacam_focal_h,fig3_lak303d_hotspot,1.0,30,hotspot,10.0
400,30,0,lak303d,nan,nan,nan,1.678476219095766,94228.72413793103,56461.93103448276,9.434000277519226,lacam_focal_h,fig3_lak303d_hotspot,0.9666666666666667,29,hotspot,10.0
600,30,0,lak303d,nan,nan,nan,1.9771529373478567,167001.76666666666,85249.86666666667,9.424227245648702,lacam_focal_h,fig3_lak303d_hotspot,1.0,30,hotspot,10.0
800,30,0,lak303d,nan,nan,nan,2.3633431396013633,263585.6206896552,112879.41379310345,9.653099902470906,lacam_focal_h,fig3_lak303d_hotspot,0.9666666666666667,29,hotspot,10.0
200,30,0,lak303d,0.3392742999212153,602.8,38.233333333333334,1.0012222222222222,600.7333333333333,600.0,12.60980703830719,dbs_hungarian,fig3_lak303d_random,1.0,30,random,10.0
