scenario,map_name,target_mode,method,agents,seed,solved,soc,sum_shortest_distances,normalized_cost,initial_solution_cost,first_solution_cost,effective_initial_cost,improvement_pct,wall_time_s
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,24,1,2007,1830,1.0967213114754097,2045,,2045.0,1.8581907090464547,10.679641723632812
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,2,1,1970,1830,1.0765027322404372,2136,,2136.0,7.771535580524344,11.090554475784302
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,8,1,2061,1836,1.1225490196078431,,2055,2055.0,-0.291970802919708,10.06801152229309
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,16,1,2017,1834,1.0997818974918212,2076,,2076.0,2.842003853564547,10.728440284729004
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,25,1,2062,1830,1.126775956284153,,2063,2063.0,0.048473097430925836,10.06561279296875
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,18,1,2026,1827,1.1089217296113847,,2022,2022.0,-0.19782393669634027,9.993261814117432
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,16,1,2090,1834,1.1395856052344602,,2085,2085.0,-0.23980815347721823,9.957286834716797
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,30,1,2040,1829,1.1153635866593767,2135,,2135.0,4.4496487119437935,10.711529016494751
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,21,1,1983,1826,1.0859802847754656,2094,,2094.0,5.300859598853868,10.762092113494873
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,11,1,2010,1836,1.0947712418300655,2087,,2087.0,3.689506468615237,10.77260446548462
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,24,1,2870,2441,1.1757476444080295,,2857,2857.0,-0.45502275113755686,9.68241834640503
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,22,1,2009,1835,1.0948228882833788,2114,,2114.0,4.966887417218543,10.769286870956421
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,8,1,2058,1836,1.1209150326797386,2088,,2088.0,1.4367816091954022,10.935724020004272
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,19,1,2014,1839,1.0951604132680806,2215,,2215.0,9.074492099322798,10.781637907028198
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,26,1,1973,1825,1.0810958904109589,2120,,2120.0,6.933962264150943,10.763391017913818
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,12,1,2068,1828,1.1312910284463895,2132,,2132.0,3.0018761726078798,10.789339065551758
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,13,1,2067,1820,1.1357142857142857,2201,,2201.0,6.088141753748296,10.78766417503357
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,23,1,1997,1826,1.0936473165388827,2048,,2048.0,2.490234375,10.781336307525635
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,14,1,1969,1829,1.0765445598687808,2037,,2037.0,3.3382425135002456,10.798431158065796
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,20,1,2034,1829,1.1120831055221432,2118,,2118.0,3.9660056657223794,10.794784545898438
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,25,1,2060,1830,1.1256830601092895,2129,,2129.0,3.240958196336308,10.779988050460815
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,27,1,2016,1836,1.0980392156862746,2123,,2123.0,5.040037682524729,10.774072885513306
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,17,1,2023,1826,1.1078860898138008,2130,,2130.0,5.023474178403756,10.80168342590332
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,28,1,1992,1825,1.0915068493150686,2035,,2035.0,2.113022113022113,10.7739417552948
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,15,1,2041,1826,1.1177437020810514,2150,,2150.0,5.069767441860465,10.813424587249756
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,7,1,2864,2437,1.175215428805909,,2852,2852.0,-0.42075736325385693,9.783368587493896
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,20,1,2886,2435,1.1852156057494867,,2876,2876.0,-0.3477051460361613,9.777226209640503
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,29,1,2011,1826,1.1013143483023,2106,,2106.0,4.510921177587845,10.771732568740845
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,5,1,2068,1831,1.1294374658656472,,2056,2056.0,-0.5836575875486382,10.034315586090088
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,29,1,2057,1826,1.1265060240963856,,2057,2057.0,0.0,10.129436731338501
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,3,1,2869,2444,1.1738952536824878,,2854,2854.0,-0.5255781359495445,9.734586715698242
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,12,1,2989,2438,1.2260049220672682,,2955,2955.0,-1.1505922165820643,9.823087453842163
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,1,1,2883,2439,1.1820418204182042,3031,,3031.0,4.88287693830419,10.771324634552002
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,10,1,1975,1816,1.0875550660792952,2107,,2107.0,6.264831514000949,10.851956605911255
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,600,18,1,1981,1827,1.0842911877394636,2060,,2060.0,3.8349514563106797,10.825669527053833
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,22,1,2851,2448,1.164624183006536,,2842,2842.0,-0.3166783954961295,9.810304641723633
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,19,1,2926,2447,1.1957498978340826,,2907,2907.0,-0.6535947712418301,9.740243434906006
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,14,1,2842,2436,1.1666666666666667,2917,,2917.0,2.571134727459719,10.745147943496704
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,15,1,2912,2438,1.1944216570959802,3174,,3174.0,8.254568367989918,10.75481653213501
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,12,1,2943,2438,1.2071369975389663,3155,,3155.0,6.7194928684627575,10.75881552696228
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,20,1,2059,1829,1.1257517769272827,,2054,2054.0,-0.24342745861733203,10.120241403579712
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,6,1,2829,2429,1.1646768217373404,,2820,2820.0,-0.3191489361702128,9.769129514694214
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,15,1,2855,2438,1.1710418375717802,,2843,2843.0,-0.4220893422441083,9.828963279724121
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,3,1,2993,2444,1.224631751227496,3151,,3151.0,5.014281180577594,10.803382873535156
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,11,1,2910,2443,1.1911584117887843,3064,,3064.0,5.026109660574413,10.778642892837524
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,9,1,2891,2442,1.1838656838656838,2985,,2985.0,3.1490787269681744,10.777875661849976
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,5,1,2878,2440,1.1795081967213115,2911,,2911.0,1.1336310546204054,10.78073239326477
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,2,1,2905,2438,1.1915504511894996,3061,,3061.0,5.096373734073832,10.810269355773926
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,16,1,2832,2441,1.1601802539942647,2894,,2894.0,2.1423635107118177,10.774527311325073
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,13,1,2873,2434,1.1803615447822515,3024,,3024.0,4.993386243386244,10.77864122390747
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,8,1,2909,2449,1.1878317680685995,3137,,3137.0,7.268090532355754,10.781784296035767
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,20,1,2845,2435,1.1683778234086242,2935,,2935.0,3.0664395229982966,10.727763414382935
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,6,1,2767,2429,1.1391519143680526,2935,,2935.0,5.724020442930153,10.78371000289917
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,7,1,2765,2437,1.1345917111202297,2891,,2891.0,4.358353510895884,10.783677577972412
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,21,1,2844,2438,1.166529942575882,3026,,3026.0,6.0145406477197625,10.721527814865112
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,21,1,2905,2438,1.1915504511894996,,2889,2889.0,-0.5538248528902735,9.7410306930542
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,14,1,2060,1829,1.1262985237834882,,2057,2057.0,-0.14584346135148274,9.615352392196655
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,17,1,2886,2430,1.1876543209876542,3010,,3010.0,4.119601328903655,10.7403724193573
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,19,1,2841,2447,1.1610134859011034,3058,,3058.0,7.096141268803139,10.741476058959961
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,26,1,2011,1825,1.101917808219178,,2007,2007.0,-0.19930244145490783,9.863893985748291
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,16,1,2911,2441,1.1925440393281441,,2900,2900.0,-0.3793103448275862,9.774201393127441
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,18,1,2858,2441,1.1708316263826302,2971,,2971.0,3.8034331874789635,10.75100588798523
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,15,1,2047,1826,1.1210295728368018,,2044,2044.0,-0.14677103718199608,10.049858331680298
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,4,1,2865,2434,1.177074774034511,,2849,2849.0,-0.5616005616005616,9.719186544418335
