method,method_label,map,scenario,agents,success_rate,n_cases
ir,IR-TAPF,den312d,G,20,1.0,20
ir,IR-TAPF,den312d,G,30,1.0,20
ir,IR-TAPF,den312d,G,40,1.0,20
ir,IR-TAPF,den312d,G,50,1.0,20
ir,IR-TAPF,den312d,G,60,1.0,20
ir,IR-TAPF,den312d,G,70,1.0,20
ir,IR-TAPF,den312d,G,80,1.0,20
ir,IR-TAPF,den312d,G,90,1.0,20
ir,IR-TAPF,den312d,G,100,1.0,20
ir,IR-TAPF,den312d,G,110,1.0,20
ir,IR-TAPF,den312d,G,120,0.95,20
ir,IR-TAPF,den312d,G,130,1.0,20
ir,IR-TAPF,den312d,G,140,1.0,20
ir,IR-TAPF,den312d,G,150,1.0,20
ir,IR-TAPF,den312d,G,160,1.0,20
ir,IR-TAPF,den312d,G,170,1.0,20
ir,IR-TAPF,den312d,G,180,1.0,20
ir,IR-TAPF,den312d,G,190,1.0,20
ir,IR-TAPF,den312d,G,200,0.95,20
ir,IR-TAPF,maze-32-32-2,000,5,1.0,20
ir,IR-TAPF,maze-32-32-2,000,10,1.0,20
ir,IR-TAPF,maze-32-32-2,000,15,1.0,20
ir,IR-TAPF,maze-32-32-2,000,20,1.0,20
ir,IR-TAPF,maze-32-32-2,000,25,1.0,20
ir,IR-TAPF,maze-32-32-2,000,30,1.0,20
ir,IR-TAPF,maze-32-32-2,000,35,1.0,20
ir,IR-TAPF,maze-32-32-2,000,40,1.0,20
ir,IR-TAPF,maze-32-32-2,000,45,1.0,20
ir,IR-TAPF,maze-32-32-2,000,50,1.0,20
ir,IR-TAPF,maze-32-32-2,000,55,1.0,20
ir,IR-TAPF,maze-32-32-2,000,60,1.0,20
ir,IR-TAPF,maze-32-32-2,030,5,1.0,20
ir,IR-TAPF,maze-32-32-2,030,10,1.0,20
ir,IR-TAPF,maze-32-32-2,030,15,1.0,20
ir,IR-TAPF,maze-32-32-2,030,20,1.0,20
ir,IR-TAPF,maze-32-32-2,030,25,1.0,20
ir,IR-TAPF,maze-32-32-2,030,30,1.0,20
ir,IR-TAPF,maze-32-32-2,030,35,1.0,20
ir,IR-TAPF,maze-32-32-2,030,40,1.0,20
ir,IR-TAPF,maze-32-32-2,030,45,1.0,20
ir,IR-TAPF,maze-32-32-2,030,50,1.0,20
ir,IR-TAPF,maze-32-32-2,030,55,0.95,20
ir,IR-TAPF,maze-32-32-2,030,60,1.0,20
ir,IR-TAPF,maze-32-32-2,060,5,1.0,20
ir,IR-TAPF,maze-32-32-2,060,10,1.0,20
ir,IR-TAPF,maze-32-32-2,060,15,1.0,20
ir,IR-TAPF,maze-32-32-2,060,20,1.0,20
ir,IR-TAPF,maze-32-32-2,060,25,0.95,20
ir,IR-TAPF,maze-32-32-2,060,30,0.95,20
ir,IR-TAPF,maze-32-32-2,060,35,0.95,20
