cases,external_timeouts,mean_runtime_ms,mean_soc,mean_sum_of_loss,mean_wall_time_s,method,solve_rate,solved,suite
400,0,8865.8325,5420.4225,4293.7075,8.925693169236183,lacam_dfs,1.0,400,exp1
400,0,8873.53,5419.225,4291.98,8.949536485671997,lacam_focal_h,1.0,400,exp1
