anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,case_id,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,makespan,map_file,matrix_file,method,moves_valid,num_agents,num_unique_tasks,open_max_size,pibt_calls,pibt_failures,pibt_recursions,runtime_ms,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,suite,sum_of_loss,swap_applied,swap_checks,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
1,1,4755,9,126.8,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_1,1,17158,104552,23146,0,0,22,9,7621,39,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_1.yaml,h,1.5,0,1,1234,23165,4755,4755,0,1,150,,,lacam_dfs,1,170,,151,1089106,1524,3831,9067,dfs,dfs,1,9614,7621,150,7621,1,lacam_tapf,1,,exp1,7700,642,1089106,10.0,0,1,1,1,9.174520254135132
1,1,3809,9,95.4905,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_8,1,29728,124411,34724,0,0,28,9,8354,50,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_8.yaml,h,1.5,0,1,1188,34734,3809,3809,0,1,194,,,lacam_dfs,1,170,,195,811831,28,3730,9049,dfs,dfs,8,11807,8354,194,8354,1,lacam_tapf,1,,exp1,8396,626,811831,10.0,0,1,1,1,9.14882779121399
1,1,3460,14,102.748,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_3,1,52440,230959,57082,0,0,37,14,7216,41,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_3.yaml,h,1.5,0,1,1183,57101,3460,3460,0,1,170,,,lacam_dfs,1,170,,171,754729,365,6003,9052,dfs,dfs,3,9174,7216,170,7216,1,lacam_tapf,1,,exp1,7226,487,754729,10.0,0,1,1,1,9.171768426895142
1,1,11556,9,1737.55,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_3,1,476,59371,12042,0,0,22,9,7512,30,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_3.yaml,h,1.5,0,1,11,12043,11556,11556,0,1,145,,,lacam_focal_h,1,160,,11555,1754518,35,186736,9166,focal,focal,3,9467,7512,145,7512,1,lacam_tapf,1,,exp1,7587,61369,1754518,10.0,0,1,1,1,9.314037799835205
1,1,4142,9,103.464,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_7,1,38718,202165,44037,0,0,25,9,8610,60,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_7.yaml,h,1.5,0,1,1178,44051,4142,4142,0,1,307,,,lacam_dfs,1,170,,308,986472,1030,4747,9048,dfs,dfs,7,11012,8610,307,8610,1,lacam_tapf,1,,exp1,8649,733,986472,10.0,0,1,1,1,9.173712253570557
1,1,3848,8,93.5352,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_10,1,51298,193944,56513,0,0,22,8,8636,52,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_10.yaml,h,1.5,0,1,1368,56526,3848,3848,0,1,235,,,lacam_dfs,1,170,,236,848190,45,2549,9046,dfs,dfs,10,10625,8636,235,8636,1,lacam_tapf,1,,exp1,8691,679,848190,10.0,0,1,1,1,9.163012504577637
1,1,13552,2083,1568.27,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_1,1,0,55922,13551,0,0,26,9,6262,27,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_1.yaml,h,1.5,0,1,0,13552,13552,13552,0,1,162,,,lacam_focal_h,1,160,,13551,1975838,761,256846,9183,focal,focal,1,7900,6262,162,6262,1,lacam_tapf,1,,exp1,6262,167802,1975838,10.0,0,1,1,1,9.351083517074585
1,1,10770,9,1762.27,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_8,1,4310,62719,15080,0,0,20,9,6238,26,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_8.yaml,h,1.5,0,1,1,15081,10770,10770,0,1,115,,,lacam_focal_h,1,160,,10770,1996429,6805,437626,9154,focal,focal,8,7662,6238,115,6238,1,lacam_tapf,1,,exp1,6249,120071,1996429,10.0,0,1,1,1,9.306835174560547
1,1,14404,8,1271.41,Paper_symbotic_39_37_gp_5/symbotic_agents_150_test_15,1,0,69792,14433,0,0,20,8,4930,35,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_150_test_15.yaml,h,1.5,0,1,30,14434,14404,14404,0,1,133,,,lacam_focal_h,1,150,,14403,1993978,26,210832,9209,focal,focal,15,5990,4930,133,4930,1,lacam_tapf,1,,exp1,4939,102948,1993978,10.0,0,1,1,1,9.406913757324219
1,1,11605,9,1786.19,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_11,1,5547,54799,17153,0,0,20,9,7513,36,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_11.yaml,h,1.5,0,1,2,17154,11605,11605,0,1,178,,,lacam_focal_h,1,160,,11604,1713615,21,320050,9148,focal,focal,11,9122,7513,178,7513,1,lacam_tapf,1,,exp1,7545,86980,1713615,10.0,0,1,1,1,9.302745342254639
