case_agents,case_test,collision_free,exit_code,first_error,instance_file,itacbs_TA_runtime_ms,itacbs_firstconflict_runtime_ms,itacbs_lowLevelExpanded,itacbs_lowlevel_search_time_ms,itacbs_newnode_runtime_ms,itacbs_numTaskAssignmentChanged,itacbs_numTaskAssignments,itacbs_total_lowlevel_node,makespan,map_file,num_agents,num_unique_tasks,potential_goals_avg,potential_goals_max,potential_goals_min,runtime_ms,seed,soc,solved,solver,stderr,timed_out,valid_solution,wall_time_s
10,7,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_7.yaml,0.153996,2.66658,20716,28.966700000000003,0.176538,19,92,103,46,symbotic.map,10,10,5.0,5,5,33.0379,7,218,1,itacbs,,0,1,0.04218935966491699
20,5,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_5.yaml,0.20006000000000002,3.42485,9760,17.415300000000002,0.544943,0,67,85,33,symbotic.map,20,20,5.0,5,5,22.3689,5,254,1,itacbs,,0,1,0.03407454490661621
20,14,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_14.yaml,0.310979,6.96626,17123,24.8527,0.63468,34,119,135,31,symbotic.map,20,20,5.0,5,5,34.0289,14,380,1,itacbs,,0,1,0.04661059379577637
20,0,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_0.yaml,0.324528,4.19878,15694,25.7348,0.872665,3,149,151,35,symbotic.map,20,20,5.0,5,5,32.31379999999999,0,350,1,itacbs,,0,1,0.04433441162109375
20,17,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_17.yaml,0.669154,22.8719,43128,65.79899999999999,2.24508,43,339,461,31,symbotic.map,20,20,5.0,5,5,96.21589999999999,17,363,1,itacbs,,0,1,0.11010408401489258
20,15,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_15.yaml,0.877775,26.284399999999998,58626,78.1635,2.4871,59,412,529,38,symbotic.map,20,20,5.0,5,5,113.247,15,364,1,itacbs,,0,1,0.12827706336975098
20,2,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_2.yaml,1.15009,35.7712,119850,144.05499999999998,2.8016400000000004,49,473,547,33,symbotic.map,20,20,5.0,5,5,190.525,2,355,1,itacbs,,0,1,0.2051544189453125
20,12,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_12.yaml,2.31322,64.59280000000001,84791,126.90499999999999,6.01559,369,1031,1073,42,symbotic.map,20,20,5.0,5,5,211.824,12,444,1,itacbs,,0,1,0.22784090042114258
30,15,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_15.yaml,0.417142,24.2787,25477,37.9491,1.5343399999999998,30,96,151,37,symbotic.map,30,30,5.0,5,5,66.43939999999999,15,581,1,itacbs,,0,1,0.0829782485961914
20,4,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_4.yaml,2.90598,97.9292,313048,424.27500000000003,8.174330000000001,270,1201,1583,41,symbotic.map,20,20,5.0,5,5,556.827,4,374,1,itacbs,,0,1,0.5775940418243408
30,17,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_17.yaml,5.17419,82.1853,139842,230.1,24.8046,6,1920,2183,51,symbotic.map,30,30,5.0,5,5,374.493,17,511,1,itacbs,,0,1,0.3986833095550537
30,7,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_7.yaml,14.4993,383.077,393574,646.9639999999999,66.5811,653,4450,5171,32,symbotic.map,30,30,5.0,5,5,1195.33,7,499,1,itacbs,,0,1,1.2260971069335938
30,9,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_9.yaml,12.75,416.14099999999996,417263,637.813,71.9219,522,4544,5691,50,symbotic.map,30,30,5.0,5,5,1235.58,9,486,1,itacbs,,0,1,1.2652523517608643
30,13,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_13.yaml,39.3661,1567.8799999999999,1343886,1826.01,460.673,3407,12053,15585,30,symbotic.map,30,30,5.0,5,5,4071.5399999999995,13,460,1,itacbs,,0,1,4.129164934158325
20,11,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_11.yaml,35.6869,553.554,2616701,6372.51,2091.11,836,19418,30567,33,symbotic.map,20,20,5.0,5,5,9355.15,11,307,1,itacbs,,0,1,9.410604238510132
20,3,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_3.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,3,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_3.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_3.out.yaml']' timed out after 10.0 seconds",1,0,10.357914447784424
20,10,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_10.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,10,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_10.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_10.out.yaml']' timed out after 10.0 seconds",1,0,10.558674335479736
20,1,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_1.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,1,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_1.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_1.out.yaml']' timed out after 10.0 seconds",1,0,10.658585786819458
20,19,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_19.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,19,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_19.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_19.out.yaml']' timed out after 10.0 seconds",1,0,10.66038179397583
20,16,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_16.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,16,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_16.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_16.out.yaml']' timed out after 10.0 seconds",1,0,10.778467178344727
20,13,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_13.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,13,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_13.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_13.out.yaml']' timed out after 10.0 seconds",1,0,10.79296875
20,8,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_8.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,8,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_8.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_8.out.yaml']' timed out after 10.0 seconds",1,0,10.796857833862305
20,18,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_18.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,18,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_18.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_18.out.yaml']' timed out after 10.0 seconds",1,0,10.896905899047852
30,8,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_8.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,8,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_8.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_8.out.yaml']' timed out after 10.0 seconds",1,0,10.880681991577148
20,6,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_6.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,6,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_6.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_6.out.yaml']' timed out after 10.0 seconds",1,0,10.937899351119995
40,12,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_40_test_12.yaml,,,,,,,,,,symbotic.map,40,40,5.0,5,5,,12,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_40_test_12.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_40_test_12.out.yaml']' timed out after 10.0 seconds",1,0,10.911460161209106
30,1,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_1.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,1,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_1.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_1.out.yaml']' timed out after 10.0 seconds",1,0,10.986323118209839
30,14,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_14.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,14,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_14.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_14.out.yaml']' timed out after 10.0 seconds",1,0,11.127085208892822
20,7,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_7.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,7,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_7.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_7.out.yaml']' timed out after 10.0 seconds",1,0,11.197117567062378
30,5,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_5.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,5,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_5.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_5.out.yaml']' timed out after 10.0 seconds",1,0,11.190161943435669
30,2,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_2.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,2,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_2.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_2.out.yaml']' timed out after 10.0 seconds",1,0,11.286571264266968
30,4,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_4.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,4,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_4.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_4.out.yaml']' timed out after 10.0 seconds",1,0,11.294567823410034
30,18,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_18.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,18,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_18.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_18.out.yaml']' timed out after 10.0 seconds",1,0,11.340321779251099
30,10,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_10.yaml,,,,,,,,,,symbotic.map,30,30,5.0,5,5,,10,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_10.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_30_test_10.out.yaml']' timed out after 10.0 seconds",1,0,11.397827863693237
